concept	type	group	description
Actor	EntType	ContextEnt	A role played by a user or external system that interacts with the system (product, app, or service) under development.
App	EntType	ContextEnt	A computer program, or group of programs designed for end users, normally with a graphical user interface. Short for application.
Barrier	EntType	QualityEnt	Something that makes it difficult to achieve a goal or a higher quality level.
Benefit	Attr	IntAttr	A characterization of a good or helpful result or effect (e.g. of a feature).
Breakpoint	EntType	QualityEnt	A point of change, representing an important shift in the relation between quality and benefit.
Capacity	Attr	IntAttr	An amount that can be held or contained (e.g. by a resource).
Class	EntType	DataEnt	An extensible template for creating objects. A set of objects with certain attributes in common. A category.
Comment	Attr	StrAttr	A note with a remark or a discussion on an entity.
Component	EntType	DesignEnt	A composable part of a system architecture. A reusable, interchangeable system unit or functionality.
Configuration	EntType	VariabilityEnt	A specific combination of variants.
Constraints	Attr	StrAttr	A collection of propositions that constrain a solution space or restrict possible attribute values.
Cost	Attr	IntAttr	An expenditure of something, such as time or effort, necessary for the implementation of an entity.
Damage	Attr	IntAttr	A characterization of the negative consequences if some entity (e.g. a risk) occurs.
Data	EntType	DataEnt	A data entity, type, class, or record stored or processed by a system.
Deprecated	Attr	StrAttr	A description of why an entity should be avoided, often because it is superseded by another entity, as indicated by a 'deprecates' relation.
Design	EntType	DesignEnt	A specific realization. A description of an implementation.
Domain	EntType	ContextEnt	The application area of a product with its surrounding entities, e.g. users or other systems.
Epic	EntType	GeneralEnt	A coherent collection of features, stories, use cases or issues. A large part of a release.
Event	EntType	FunctionalEnt	Something that can happen in the domain or in the system.
Example	Attr	StrAttr	A description that illustrates some entity by a typical instance.
Expectation	Attr	StrAttr	A required output of a test in order to be counted as passed.
Failure	Attr	StrAttr	An error that prevents the normal execution of a system.
Feature	EntType	GeneralEnt	A releasable characteristic of a product. A high-level, coherent bundle of requirements.
Field	EntType	DataEnt	A data attribute that is part of another entity, such as a class
Frequency	Attr	IntAttr	A number of occurrences per time unit. 
Function	EntType	FunctionalEnt	A description of how input is mapped to output. A capability of a system to do something specific.
Gist	Attr	StrAttr	A short and simple description. A summary capturing the essence of an entity.
Goal	EntType	GeneralEnt	An intention of a stakeholder or desired system property.
Idea	EntType	GeneralEnt	A concept or thought (potentially interesting).
Image	EntType	GeneralEnt	A visual representation, picture or diagram.
Input	Attr	StrAttr	Data consumed by an entity, 
Interface	EntType	GeneralEnt	A defined way to interact with a system.
Issue	EntType	GeneralEnt	Something needed to be fixed or work to do.
Item	EntType	GeneralEnt	An article in a collection, enumeration, or series.
Label	EntType	GeneralEnt	A descriptive tag used to classify something.
Location	Attr	StrAttr	A location of a resource such as a web address or a path to a file of persistent data.
Max	Attr	IntAttr	A maximum estimated or assigned value.
Member	EntType	DataEnt	A data entity that is part of another entity. More specific alternatives: field, function.
Min	Attr	IntAttr	A minimum estimated or assigned value.
